"tanggal","nama_kab_kota","kode_kab_kota","konfirmasi_total","konfirmasi_sembuh","konfirmasi_meninggal","konfirmasi_aktif","med_level","avg_delay","avg_speed_kmh","med_total_records"
2020-07-05,Kabupaten Majalengka,"3210",7,2,1,4,2.0,152.76185391743977,23.67423847516378,9.0
2020-07-05,Kabupaten Pangandaran,"3218",17,2,0,15,1.5,164.20352458953857,24.290879249572754,7.0
2020-07-05,Kabupaten Purwakarta,"3214",32,21,1,10,2.0,120.22182471836163,21.853774754981686,9.0
2020-07-05,Kabupaten Subang,"3213",52,27,2,23,2.0,138.490599346857,22.757369579189884,8.0
2020-07-05,Kabupaten Sukabumi,"3202",61,25,0,36,2.0,189.72314326969658,18.68664393631492,11.0
2020-07-05,Kabupaten Sumedang,"3211",16,10,0,6,2.0,126.45808810454149,18.33044679119037,11.0
2020-07-05,Kabupaten Tasikmalaya,"3206",8,1,0,7,2.0,143.44525277969686,22.058362361218066,9.0
2020-07-05,Kota Bandung,"3273",421,235,41,145,3.0,101.59641741085676,13.15180229568014,11.0
2020-07-05,Kota Banjar,"3279",9,5,1,3,1.0,91.6516227722168,28.33567307212136,7.0
2020-07-05,Kota Bekasi,"3275",525,282,30,213,2.0,127.61414075491795,14.055336403190374,10.0
2020-07-05,Kota Bogor,"3271",180,101,16,63,2.0,111.48166774037922,17.008903648180254,10.0
2020-07-05,Kota Cimahi,"3277",127,64,1,62,3.0,64.37132933581317,8.888003919742726,30.5
2020-07-05,Kota Cirebon,"3274",29,7,1,21,3.0,103.28388315981084,14.997145769270984,8.0
2020-07-05,Kota Depok,"3276",818,444,38,336,2.0,131.72441427488982,15.657869691188095,9.0
2020-07-05,Kota Sukabumi,"3272",45,37,0,8,2.0,127.49219791020188,17.7999226122259,8.0
2020-07-05,Kota Tasikmalaya,"3278",24,19,2,3,2.0,89.47539057589994,17.127410614844596,8.0
2020-07-06,Kabupaten Bandung,"3204",119,54,6,59,2.0,107.26848536637482,15.199886590669843,11.0
2020-07-06,Kabupaten Bandung Barat,"3217",77,43,1,33,2.0,126.69694157436152,18.878276818425697,10.0
2020-07-06,Kabupaten Bekasi,"3216",251,111,17,123,2.0,125.97630001727183,15.235921459791733,10.0
2020-07-06,Kabupaten Bogor,"3201",251,133,9,109,2.0,128.3909134431561,16.817496179934484,10.0
2020-07-06,Kabupaten Ciamis,"3207",11,5,0,6,2.0,124.385430787739,27.090332520635503,8.5
2020-07-06,Kabupaten Cianjur,"3203",20,10,1,9,2.0,141.90226132466913,21.88807816157058,10.0
2020-07-06,Kabupaten Cirebon,"3209",18,4,1,13,2.0,104.40572973939238,20.440626347162684,8.0
2020-07-06,Kabupaten Garut,"3205",23,8,3,12,2.0,125.74906254705982,21.414544729428872,9.0
2020-07-06,Kabupaten Indramayu,"3212",36,10,2,24,2.0,137.89361531221414,23.442657102512406,7.0
2020-07-06,Kabupaten Karawang,"3215",39,12,1,26,2.0,119.80459494244789,20.688849017823156,8.0
2020-07-06,Kabupaten Kuningan,"3208",24,5,2,17,2.0,114.01852607727051,25.56467693342882,8.0
2020-07-06,Kabupaten Majalengka,"3210",7,2,1,4,2.0,115.56160062246948,24.2499687515036,9.0
2020-07-06,Kabupaten Pangandaran,"3218",17,2,0,15,2.0,289.0996291216682,21.80047035217285,7.0
